code,parent,urn,name#es,name#en,name#ca,description#es,description#en,description#ca
100,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).100,Dentón o dentón europeo (Dentex dentex),,,,,
101,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).101,Especies de estero,,,,,
102,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).102,Langostino meditarráneo (Penaeus kerathurus),,,,,
103,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).103,Lenguado senegalés (Solea senegalensis),,,,,
104,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).104,Mujoles (Mugil spp.),,,,,
105,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).105,Mero (Epinephelus marginatus),,,,,
106,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).106,Mojarra (Diplodus vulgaris),,,,,
107,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).107,Morragute (liza ramada),,,,,
108,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).108,Ostión u ostra japonesa (Crassostrea gigas),,,,,
109,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).109,Pargo (Pagrus pagrus),,,,,
110,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).110,Salema (Sarpa salpa),,,,,
111,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).111,Salmón real (Oncorhychus tshawytscha ),,,,,
112,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).112,Sargo picudo (Diplodus puntazzo),,,,,
113,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).113,Urta (pagrus auriga),,,,,
114,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).114,Escupiña grabada (Venus verrucosa),,,,,
115,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).115,Navaja (Ensis arcuatus),,,,,
116,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).116,Pectínidos (Peines spp.),,,,,
117,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).117,Volandeira (Aequipecten opercularis),,,,,
118,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).118,Cangrejo autóctono (Austropotamobius pallipes),,,,,
119,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).119,Crustáceos ornamentales,,,,,
120,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).120,Moluscos ornamentales,,,,,
121,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).121,Camarón (Palaemonetes varians),,,,,
122,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).122,Cherna (Polyprion americanus),,,,,
123,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).123,Esturión del Adriático (Acipenser naccarii),,,,,
124,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).124,Esturión siberiano (Acipenser Baerii),,,,,
125,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).125,Trucha arco iris (Oncorhynchus mykiss),,,,,
126,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).126,Carpa real (Cyprinus carpio royal),,,,,
127,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).127,Acedía (Dicologlossa cuneata),,,,,
128,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).128,Medregal limón (Seriola rivoliana),,,,,
129,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).129,Medregal listado (Seriola fasciata),,,,,
130,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).130,Medregal de guinea (Seriola carpenteri),,,,,
131,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).131,Mejillón canario (Perna perna),,,,,
132,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).132,Salmón del Danubio (Hucho hucho),,,,,
133,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).133,Langostino blanco (Litopenaeus vannamei),,,,,
134,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).134,Cangrejo verde o coñeta (Carcinus maenas),,,,,
135,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).135,Pejerrey mediterráneo (Atherina Boyeri),,,,,
136,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).136,Fúndulus (Fundulus heteroclitus),,,,,
137,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).137,Esturión estrellado (Acipenser stellatus),,,,,
138,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).138,Esturión ruso (Acipenser gueldenstaedti),,,,,
139,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).139,Beluga (Huso huso),,,,,
140,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).140,Sardina (Sardina pilchardus),,,,,
141,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).141,Choco o sepia (Sepia officinalis),,,,,
142,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).142,Cobia (Rachycentron canadum),,,,,
143,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).143,Lamprea (Petromyzun marinus),,,,,
